,id_modelo_nuevo,version,puertas,consumo,precio,id_provincia,id_potencia,id_motor,id_modelo,id_anio
47,48,NISSAN X-TRAIL (O)1.5T MHEV 120KW (163CV) CVT TEKNA 7 SEATS,5,7.3,48000,1,6,1,5,14
48,49,NISSAN X-TRAIL 1.5 HEV E-POWER 204 ACENTA,5,5.7,42000,1,7,2,6,14
49,51,NISSAN X-TRAIL 1.5 HEV E-POWER 204 N-CONNECTA,5,5.8,45000,1,7,2,6,14
50,52,NISSAN X-TRAIL 1.5 HEV E-4ORCE 213 ACENTA,5,6.2,45400,1,8,2,6,14
51,55,NISSAN X-TRAIL 1.5 HEV E-4ORCE 213 ACENTA 7 SEATS,5,6.3,46200,1,8,2,6,14
52,56,NISSAN X-TRAIL 1.5 HEV E-POWER 204 ADVENTURE,5,5.8,46450,1,7,2,6,14
53,58,NISSAN X-TRAIL 1.5 HEV E-4ORCE 213 N-CONNECTA,5,6.3,48400,1,8,2,6,14
54,59,NISSAN TOWNSTAR (O)1.3 TCE 96KW (130CV) ACENTA,5,7.0,29105,1,9,3,7,14
55,60,NISSAN TOWNSTAR (O)1.3 TCE 96KW (130CV) ACENTA+,5,7.0,30677,1,9,3,7,14
56,61,NISSAN TOWNSTAR (O)1.3 TCE 96KW (130CV) N-CONNECTA,5,7.0,32249,1,9,3,7,14
57,62,NISSAN TOWNSTAR 1.3 TCE 96KW (130CV) ACENTA+,5,6.7,32387,1,9,3,7,14
58,63,NISSAN TOWNSTAR 1.3 TCE 96KW (130CV) N-CONNECTA,5,6.7,33959,1,9,3,7,14
59,64,NISSAN TOWNSTAR 1.3 TCE 96KW (130CV) L2 7 SEATS ACENTA+,5,6.7,34525,1,9,3,7,14
60,65,NISSAN TOWNSTAR (O)1.3 TCE 96KW (130CV) TEKNA,5,7.0,35392,1,9,3,7,14
61,66,NISSAN TOWNSTAR 1.3 TCE 96KW (130CV) L2 7 SEATS N-CONNECTA,5,6.7,36097,1,9,3,7,14
62,67,NISSAN TOWNSTAR 1.3 TCE 96KW (130CV) TEKNA,5,6.8,37103,1,9,3,7,14
63,68,NISSAN TOWNSTAR 1.3 TCE 96KW (130CV) L2 7 SEATS TEKNA,5,6.8,39240,1,9,3,7,14
64,69,NISSAN LEAF 40KWH ACENTA 40KWH,5,270.0,38569,1,10,4,8,14
65,70,NISSAN LEAF 40KWH N-CONNECTA 40KWH,5,270.0,40069,1,10,4,8,14
66,71,NISSAN LEAF 40KWH N-CONNECTA 40KWH LED,5,270.0,40519,1,10,4,8,14
67,72,NISSAN LEAF 40KWH TEKNA 40KWH,5,270.0,42919,1,10,4,8,14
68,73,NISSAN LEAF 62KWH E+ N-CONNECTA 62KWH,5,385.0,44069,1,11,4,8,14
69,74,NISSAN LEAF 40KWH TEKNA 40KWH PROPILOT,5,270.0,44119,1,10,4,8,14
70,75,NISSAN LEAF 62KWH E+ N-CONNECTA 62KWH LED,5,385.0,44519,1,11,4,8,14
71,76,NISSAN LEAF 62KWH E+ TEKNA 62KWH,5,385.0,46919,1,11,4,8,14
72,77,NISSAN LEAF 62KWH E+ TEKNA 62KWH PROPILOT,5,385.0,48119,1,11,4,8,14
73,78,NISSAN ARIYA BEV 66KWH ADVANCE 22KW (218CV) CHAR,5,403.0,48800,1,12,4,9,14
74,79,NISSAN ARIYA BEV 87KWH ENGAGE,5,536.0,49800,1,13,4,9,14
75,80,NISSAN ARIYA BEV 66KWH ADVANCE 22KW (218CV) CHAR SUNROOF,5,403.0,50300,1,12,4,9,14
76,81,NISSAN ARIYA BEV 87KWH ENGAGE TECH,5,536.0,50800,1,13,4,9,14
77,82,NISSAN ARIYA BEV 87KWH ADVANCE 22KW (242CV) CHAR,5,533.0,54300,1,13,4,9,14
78,83,NISSAN ARIYA BEV 87KWH ADVANCE 22KW (242CV) CHAR SUNROOF,5,533.0,55800,1,13,4,9,14
79,84,NISSAN ARIYA BEV 87KWH E-4ORCE ADVANCE 22KW (306CV) CHAR,5,509.0,57500,1,14,4,9,14
80,85,NISSAN ARIYA BEV 87KWH EVOLVE 22KW (242CV) CHAR,5,525.0,58500,1,13,4,9,14
81,86,NISSAN ARIYA BEV 87KWH E-4ORCE ADVANCE 22KW (306CV) CHAR SUNR,5,509.0,59000,1,14,4,9,14
82,87,NISSAN ARIYA BEV 87KWH EVOLVE 22KW (242CV) CHAR SPORT,5,525.0,61000,1,13,4,9,14
83,88,NISSAN PRIMASTAR 2.0DCI 81KW (110CV) ACENTA L1H1 COMBI 6,4,6.9,43422,1,15,5,10,14
84,89,NISSAN PRIMASTAR 2.0DCI 81KW (110CV) ACENTA L1H1 COMBI 9,4,6.9,44220,1,15,5,10,14
85,90,NISSAN PRIMASTAR 2.0DCI 81KW (110CV) ACENTA L2H1 COMBI 6,4,7.0,44272,1,15,5,10,14
86,91,NISSAN PRIMASTAR 2.0DCI 81KW (110CV) ACENTA L2H1 COMBI 9,4,7.0,45070,1,15,5,10,14
87,92,NISSAN PRIMASTAR 2.0DCI 110KW (150CV) ACENTA L1H1 COMBI 6,4,7.0,45475,1,10,5,10,14
88,93,NISSAN PRIMASTAR 2.0DCI 81KW (110CV) N-CONNECTA L1H1 COMBI 6,4,7.0,45478,1,15,5,10,14
89,94,NISSAN PRIMASTAR 2.0DCI 110KW (150CV) ACENTA L1H1 COMBI 9,4,7.0,46272,1,10,5,10,14
90,95,NISSAN PRIMASTAR 2.0DCI 81KW (110CV) N-CONNECTA L1H1 COMBI 9,4,7.0,46275,1,15,5,10,14
91,96,NISSAN PRIMASTAR 2.0DCI 110KW (150CV) ACENTA L2H1 COMBI 6,4,6.9,46325,1,10,5,10,14
92,97,NISSAN PRIMASTAR 2.0DCI 81KW (110CV) N-CONNECTA L2H1 COMBI 6,4,7.1,46327,1,15,5,10,14
93,98,NISSAN PRIMASTAR 2.0DCI 81KW (110CV) GO L1H1 COMBI 6,4,7.0,41716,1,15,5,11,14
94,99,NISSAN PRIMASTAR 2.0DCI 81KW (110CV) GO L1H1 MIXTA 6,4,7.0,41716,1,15,5,11,14
95,100,NISSAN PRIMASTAR 2.0DCI 81KW (110CV) GO L1H1 COMBI 9,4,7.0,42141,1,15,5,11,14
96,101,NISSAN PRIMASTAR 2.0DCI 81KW (110CV) GO L2H1 COMBI 6,4,7.6,42173,1,15,5,11,14
97,102,NISSAN PRIMASTAR 2.0DCI 81KW (110CV) OPTIMA L2H1 MIXTA 6,4,7.6,42173,1,15,5,11,14
98,103,NISSAN PRIMASTAR 2.0DCI 81KW (110CV) GO L2H1 COMBI 9,4,7.6,42598,1,15,5,11,14
99,104,NISSAN PRIMASTAR 2.0DCI 110KW (150CV) GO L1H1 COMBI 6,4,7.0,42840,1,10,5,11,14
100,105,NISSAN PRIMASTAR 2.0DCI 81KW (110CV) COMFORT L1H1 COMBI 6,4,7.0,43115,1,15,5,11,14
101,106,NISSAN PRIMASTAR 2.0DCI 110KW (150CV) GO L1H1 COMBI 9,4,7.0,43265,1,10,5,11,14
102,107,NISSAN PRIMASTAR 2.0DCI 81KW (110CV) COMFORT L1H1 COMBI 9,4,7.0,43540,1,15,5,11,14
103,108,NISSAN GT-R 3.8 V6 419KW (570CV) PRESTIGE,2,12.5,111290,1,16,3,12,14
104,109,NISSAN GT-R 3.8 V6 419KW (570CV) BLACK EDITION,2,12.5,114290,1,16,3,12,14
105,110,NISSAN GT-R 3.8 V6 419KW (570CV) TRACK EDITION BY NISMO,2,12.5,127290,1,16,3,12,14
106,111,NISSAN GT-R 3.8 V6 441KW (600CV) NISMO,2,12.5,220290,1,17,3,12,14
